param N := 13;
param M := 9;
param O := 9;
param P := 24;


param Cost :=

1      1      1      1      59.77
2      1      1      1      37.23
3      1      1      1      36.90
4      1      1      1      59.67
5      1      1      1      183.91
6      1      1      1      36.90
7      1      1      1      0.00
8      1      1      1      8.65
9      1      1      1      34.35
10     1      1      1      15.30
11     1      1      1      5.00
12     1      1      1      37.23
13     1      1      1      23.15
1      2      1      1      63.95
2      2      1      1      39.84
3      2      1      1      39.48
4      2      1      1      63.85
5      2      1      1      196.78
6      2      1      1      39.48
7      2      1      1      0.00
8      2      1      1      9.26
9      2      1      1      36.76
10     2      1      1      16.37
11     2      1      1      5.35
12     2      1      1      39.84
13     2      1      1      24.77
1      3      1      1      63.95
2      3      1      1      26.56
3      3      1      1      39.48
4      3      1      1      42.57
5      3      1      1      196.78
6      3      1      1      39.48
7      3      1      1      0.00
8      3      1      1      9.26
9      3      1      1      36.76
10     3      1      1      16.37
11     3      1      1      5.35
12     3      1      1      26.56
13     3      1      1      24.77
1      4      1      1      63.95
2      4      1      1      26.00
3      4      1      1      39.48
4      4      1      1      41.68
5      4      1      1      196.78
6      4      1      1      39.48
7      4      1      1      0.00
8      4      1      1      9.26
9      4      1      1      36.76
10     4      1      1      16.37
11     4      1      1      5.35
12     4      1      1      26.00
13     4      1      1      24.77
1      5      1      1      63.95
2      5      1      1      25.78
3      5      1      1      39.48
4      5      1      1      41.33
5      5      1      1      196.78
6      5      1      1      39.48
7      5      1      1      0.00
8      5      1      1      9.26
9      5      1      1      36.76
10     5      1      1      16.37
11     5      1      1      5.35
12     5      1      1      25.78
13     5      1      1      24.77
1      6      1      1      63.95
2      6      1      1      25.78
3      6      1      1      39.48
4      6      1      1      41.33
5      6      1      1      196.78
6      6      1      1      39.48
7      6      1      1      0.00
8      6      1      1      9.26
9      6      1      1      36.76
10     6      1      1      16.37
11     6      1      1      5.35
12     6      1      1      25.78
13     6      1      1      24.77
1      7      1      1      63.95
2      7      1      1      38.18
3      7      1      1      39.48
4      7      1      1      61.19
5      7      1      1      196.78
6      7      1      1      39.48
7      7      1      1      0.00
8      7      1      1      9.26
9      7      1      1      36.76
10     7      1      1      16.37
11     7      1      1      5.35
12     7      1      1      38.18
13     7      1      1      24.77
1      8      1      1      63.95
2      8      1      1      32.09
3      8      1      1      39.48
4      8      1      1      51.43
5      8      1      1      196.78
6      8      1      1      39.48
7      8      1      1      0.00
8      8      1      1      9.26
9      8      1      1      36.76
10     8      1      1      16.37
11     8      1      1      5.35
12     8      1      1      32.09
13     8      1      1      24.77
1      9      1      1      63.95
2      9      1      1      26.56
3      9      1      1      39.48
4      9      1      1      42.57
5      9      1      1      196.78
6      9      1      1      39.48
7      9      1      1      0.00
8      9      1      1      9.26
9      9      1      1      36.76
10     9      1      1      16.37
11     9      1      1      5.35
